mot,source,moyenne,ecart_type,var/moy,skewness,kurtosis
gouvernement,observé,65.5823754789272,30.270992367643984,13.972244406065995,1.078177296731381,3.810193607214134
gouvernement,Poisson,65.58237441284363,25.050153909372874,9.568275264525612,2.5608937241519625,13.899187829461727
gouvernement,NB,65.27409224387756,32.157714720957074,15.842711564808551,1.9895557627493552,8.633454271387958
président,observé,99.9288451012589,44.78993571628137,20.07566823609116,2.9433335021780107,32.140309297503464
président,Poisson,99.9288451012595,37.47747793984146,14.055614785781211,2.663902418229953,14.731096245400053
président,NB,99.66134005250477,45.11326184630746,20.4212224453463,2.3731221585422198,12.932222923858497
inflation,observé,1.7049808429118773,2.5080041188719915,3.689240665916373,3.1101641399509683,15.431220976192002
inflation,Poisson,1.7049808429118771,1.4438741428587343,1.2227542315698599,1.1696796719656233,2.488478827264842
inflation,NB,1.6350786815750846,2.2486496678728076,3.0924660603816276,2.676527727622207,12.672937888420279
économie,observé,4.4926108374384235,3.564761721871385,2.8285392600274637,1.8230298634110913,6.449066237828639
économie,Poisson,4.492610837313853,2.6701262100716914,1.5869556113109968,1.3017490773932487,4.181866271373451
économie,NB,4.4674787954982795,3.461658945971219,2.682292005570905,1.7794067213550386,6.9172517377076215
guerre,observé,50.99562123700055,40.1269602881269,31.574729416113694,2.6557686966201106,11.930252047047244
guerre,Poisson,50.995621237000336,19.767539285458064,7.662532584633201,2.4821681778237865,13.268594822655725
guerre,NB,49.437804422563964,33.81044426356079,23.122914835141955,2.271972145913597,11.777659500303129
climat,observé,11.707170224411604,9.151355658216696,7.153505824024509,1.807547117554548,4.971624794507392
climat,Poisson,11.707170224364011,5.441842931290079,2.5295313830153656,1.765124132428629,7.720033216234944
climat,NB,11.515528983220799,8.661702003997679,6.5151224677021755,1.940233809376993,7.337486819135812
